快捷鍵功能
ctrl+shift+n    打開新Sublime    
shift+f4    prev result    
f6    toggle setting    
ctrl+f6    next misspelling    
ctrl+shift+f6    prev misspelling    
ctrl+shift+up    swap line up    
ctrl+shift+down    swap line down    
ctrl+backspace    delete word    
ctrl+shift+backspace    run macro file    
ctrl+delete    delete word    
ctrl+shift+delete    run macro file    
ctrl+/    當前行註釋狀態切換    
ctrl+shift+/    當前位置註釋狀態切換    
ctrl+j    選擇標籤內容，將後繼行附加到行尾    
ctrl+shift+d    duplicate line    
ctrl+`    show panel    
ctrl+space    auto complete    
ctrl+space    replace completion with auto complete    
ctrl+alt+shift+p    show scope name    
f7    build    
ctrl+b    build    
ctrl+shift+b    build    
ctrl+break    exec    
ctrl+t    transpose    
f9    行排序    
ctrl+f9    行排序    
// Auto-pair quotes    
\    insert snippet    
\    insert snippet    
\    move    
backspace    run macro file    
// Auto-pair single quotes    
'    insert snippet    
'    insert snippet    
'    move    
backspace    run macro file    
// Auto-pair brackets    
(    insert snippet    
(    insert snippet    
)    move    
backspace    run macro file    
// Auto-pair square brackets    
[    insert snippet    
[    insert snippet    
]    move    
backspace    run macro file    
// Auto-pair curly brackets    
{    insert snippet    
{    insert snippet    
}    move    
backspace    run macro file    
enter    run macro file    
shift+enter    run macro file    
ctrl+1    focus group    
ctrl+2    focus group    
ctrl+3    focus group    
ctrl+4    focus group    
ctrl+shift+1    move to group    
ctrl+shift+2    move to group    
ctrl+shift+3    move to group    
ctrl+shift+4    move to group    
ctrl+0    focus side bar    
alt+1    select by index    
alt+2    select by index    
alt+3    select by index    
alt+4    select by index    
alt+5    select by index    
alt+6    select by index    
alt+7    select by index    
alt+8    select by index    
alt+9    select by index    
alt+0    select by index    
f2    next bookmark    
shift+f2    prev bookmark    
ctrl+f2    標記狀態切換    
ctrl+shift+f2    clear bookmarks    
alt+f2    select all bookmarks    
ctrl+shift+k    run macro file    
alt+q    wrap lines    
ctrl+k, ctrl+u    upper case    
ctrl+k, ctrl+l    lower case    
ctrl+k, ctrl+space    set mark    
ctrl+k, ctrl+a    select to mark    
ctrl+k, ctrl+w    delete to mark    
ctrl+k, ctrl+x    swap with mark    
ctrl+k, ctrl+y    yank    
ctrl+k, ctrl+k    run macro file    
ctrl+k, ctrl+backspace    run macro file    
ctrl+k, ctrl+g    clear bookmarks    
ctrl+k, ctrl+c    show at center    
ctrl++    increase font size    
ctrl+=    increase font size    
ctrl+keypad plus    increase font size    
ctrl+-    decrease font size    
ctrl+keypad minus    decrease font size    
alt+shift+w    insert snippet    
ctrl+shift+[    折疊(代碼)    
ctrl+shift+]    不折疊    
ctrl+k, ctrl+1    按層級折疊(代碼），數字是層級數    
ctrl+k, ctrl+2    按層級折疊(代碼），數字是層級數    
ctrl+k, ctrl+3    按層級折疊(代碼），數字是層級數    
ctrl+k, ctrl+4    按層級折疊(代碼），數字是層級數    
ctrl+k, ctrl+5    按層級折疊(代碼），數字是層級數    
ctrl+k, ctrl+6    按層級折疊(代碼），數字是層級數    
ctrl+k, ctrl+7    按層級折疊(代碼），數字是層級數    
ctrl+k, ctrl+8    按層級折疊(代碼），數字是層級數    
ctrl+k, ctrl+9    按層級折疊(代碼），數字是層級數    
ctrl+k, ctrl+0    unfold all    
ctrl+k, ctrl+j    unfold all    
ctrl+k, ctrl+t    fold tag attributes    
context menu    context menu    
alt+c    toggle case sensitive    
alt+r    toggle regex    
alt+w    toggle whole word    
alt+a    toggle preserve case    
// 查找面板的按鍵綁定    
enter    向後查找    
shift+enter    向前查找    
alt+enter    查找全部    
// 替換面板的按鍵綁定    
enter    查找下一個    
shift+enter    查找前一個    
alt+enter    查找全部    
ctrl+alt+enter    替換全部    
// Incremental find panel key bindings    
enter    hide panel    
shift+enter    find prev    
alt+enter    find all
